run_id,created_at,mode,status,workspace,manifest,report,notes
TRAIN-20260603_TEXTONLY_STAGE_LOCAL_PROMPTSET_CODEX,2026-06-03T13:16:51,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_PROMPTSET_CODEX/workspace,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_PROMPTSET_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_PROMPTSET_CODEX/reports/full_gap_report.md,
FORMAL-20260603_FEEDBACK_DRYRUN_CODEX,2026-06-03T13:17:13,formal_assist,dry_run,.,16_learning/agent_runs/FORMAL-20260603_FEEDBACK_DRYRUN_CODEX/run_manifest.yaml,16_learning/agent_runs/FORMAL-20260603_FEEDBACK_DRYRUN_CODEX/reports/formal_assist_report.md,
TRAIN-20260603_TEXTONLY_STAGE_LOCAL_PROMPTSET_V2_CODEX,2026-06-03T13:20:29,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_PROMPTSET_V2_CODEX/workspace,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_PROMPTSET_V2_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_PROMPTSET_V2_CODEX/reports/full_gap_report.md,
TRAIN-20260603_TEXTONLY_STAGE_API_PROMPTSET_CODEX,2026-06-03T13:24:09,training_sandbox,agent_failed,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_PROMPTSET_CODEX/workspace,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_PROMPTSET_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_PROMPTSET_CODEX/reports/full_gap_report.md,agent command failed
TRAIN-20260603_TEXTONLY_STAGE_LOCAL_RETRYREG_CODEX,2026-06-03T13:53:56,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_RETRYREG_CODEX/workspace,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_RETRYREG_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_RETRYREG_CODEX/reports/full_gap_report.md,
TRAIN-20260603_TEXTONLY_STAGE_API_RETRY_CODEX,2026-06-03T18:48:13,training_sandbox,completed_with_open_gaps,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_RETRY_CODEX/workspace,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_RETRY_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_RETRY_CODEX/reports/full_gap_report.md,
TRAIN-20260603_TEXTONLY_STAGE_LOCAL_TOPICFIX_CODEX,2026-06-03T19:12:22,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_TOPICFIX_CODEX/workspace,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_TOPICFIX_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_TOPICFIX_CODEX/reports/full_gap_report.md,
FORMAL-20260603_FEEDBACK_TOPICFIX_DRYRUN_CODEX,2026-06-03T19:12:35,formal_assist,dry_run,.,16_learning/agent_runs/FORMAL-20260603_FEEDBACK_TOPICFIX_DRYRUN_CODEX/run_manifest.yaml,16_learning/agent_runs/FORMAL-20260603_FEEDBACK_TOPICFIX_DRYRUN_CODEX/reports/formal_assist_report.md,
TRAIN-20260603_TEXTONLY_STAGE_API_TOPICFIX_CODEX,2026-06-03T20:27:36,training_sandbox,completed_with_open_gaps,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_TOPICFIX_CODEX/workspace,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_TOPICFIX_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_TOPICFIX_CODEX/reports/full_gap_report.md,
FORMAL-20260603_FEEDBACK_LIVE_DRYRUN_CODEX,2026-06-03T20:42:48,formal_assist,dry_run,.,16_learning/agent_runs/FORMAL-20260603_FEEDBACK_LIVE_DRYRUN_CODEX/run_manifest.yaml,16_learning/agent_runs/FORMAL-20260603_FEEDBACK_LIVE_DRYRUN_CODEX/reports/formal_assist_report.md,
FORMAL-20260603_FEEDBACK_LATEST_DRYRUN_CODEX,2026-06-03T20:44:20,formal_assist,dry_run,.,16_learning/agent_runs/FORMAL-20260603_FEEDBACK_LATEST_DRYRUN_CODEX/run_manifest.yaml,16_learning/agent_runs/FORMAL-20260603_FEEDBACK_LATEST_DRYRUN_CODEX/reports/formal_assist_report.md,
TRAIN-20260603_TEXTONLY_STAGE_LOCAL_CONTRACTSTRICT_CODEX,2026-06-03T20:48:55,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_CONTRACTSTRICT_CODEX/workspace,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_CONTRACTSTRICT_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_CONTRACTSTRICT_CODEX/reports/full_gap_report.md,
TRAIN-20260603_TEXTONLY_STAGE_LOCAL_CONTRACTSTRICT_V2_CODEX,2026-06-03T20:50:45,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_CONTRACTSTRICT_V2_CODEX/workspace,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_CONTRACTSTRICT_V2_CODEX/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_LOCAL_CONTRACTSTRICT_V2_CODEX/reports/full_gap_report.md,
