family,n,median_pages,median_fig_caption,median_table_caption,fig_caption_per_10_scanned_pages,table_caption_per_10_scanned_pages,摘要,问题重述,问题分析,模型假设,符号说明,数据处理,模型建立,模型求解,结果分析,检验评价,推广改进,参考文献,附录
优化决策,22,25.5,11.0,6.0,8.61,4.39,0.0274,0.0309,0.0,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,2,26.0,0.0,0.0,0.0,0.0,0.0,0.0461,0.0328,0.0047,0.4164,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
机器学习,4,32.5,9.5,10.5,4.86,6.25,0.6198,0.0295,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
机理仿真,10,34.5,8.0,6.0,6.95,4.24,0.0839,0.0437,0.0354,0.0115,0.5658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
统计评价,19,35,6,10,3.89,8.07,0.0505,0,0,0.0071,0.2168,0,0,0,0,0,0,0,0
预测回归,12,22.0,2.0,1.0,3.68,3.33,0.052,0.0,0.0,0.0062,0.0249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
