zip,category,family,filename,pages,scanned_pages,images_first18,fig_caption,table_caption,section_count,摘要,问题重述,问题分析,模型假设,符号说明,数据处理,模型建立,模型求解,结果分析,检验评价,推广改进,参考文献,附录
2.zip,时间序列ARMA,预测回归,车道被占用对城市道路通行能力的影响.pdf,32,18,10,0,8,3,0,0.0303,0,0.0151,0.9546,0,0,0,0,0,0,0,0
2.zip,模拟退火,优化决策,基于自适应模拟退火遗传算法的月球软着陆轨道优化.pdf,7,7,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.zip,模拟退火,优化决策,基于蚁群算法的月球软着陆轨迹优化.pdf,7,7,5,10,9,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0
2.zip,模糊综合评价,统计评价,10486c合理旅游路线的选择与优化.pdf,22,18,2,4,34,6,0.0475,0.0248,0.0557,0.0159,0.835,0,0,0,0,0,0,0.0212,0
2.zip,模糊综合评价,统计评价,2002年B题彩票方案的合理性优化.pdf,6,6,6,4,7,3,0,0,0,0,0,0,0,0.7509,0,0.2098,0,0.0393,0
2.zip,神经网络,机器学习,1190c手机语音识别技术的设计与实现 .pdf,51,18,2,10,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0
2.zip,神经网络,机器学习,14MathorCup推荐书籍 .pdf,18,18,8,10,3,6,0.0757,0.0957,0,0,0.4412,0,0,0,0,0.0609,0,0.0214,0.305
2.zip,蒙特卡洛Monte-Carlo模拟,机理仿真,2010年数学建模A题全国一等奖论文储油罐的变位识别与罐容表标定.pdf,34,18,11,27,4,4,0.0799,0.0469,0,0.0086,0.8646,0,0,0,0,0,0,0,0
2.zip,蒙特卡洛Monte-Carlo模拟,机理仿真,[2018B基于多原则比较和蒙特卡洛模拟的 RGV 动态调度模型].pdf,45,18,3,9,8,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0
2.zip,逻辑回归（logistic regression）,预测回归,[2011年国赛MATLAB创新奖C题]九江学院-企业退休职工养老金模型.pdf,6,6,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0
2.zip,逻辑回归（logistic regression）,预测回归,一等奖C题_基于SVM的评价垃圾识别研究.pdf,24,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.zip,马尔科夫Markov Model,机理仿真,2009全国大学生数学建模A题医院病床合理安排模型探讨 .pdf,28,18,7,5,4,2,0.0549,0.9451,0,0,0,0,0,0,0,0,0,0,0
2.zip,马尔科夫Markov Model,机理仿真,2018C大型百货商场会员画像描述.pdf,15,15,4,7,30,6,0.1206,0.0406,0.0749,0.4495,0,0,0,0,0.0443,0,0,0.2702,0
3.zip,小波分析,机理仿真,一等奖D题_山东科技大学_李倩_孔令波_李晓杭.pdf,53,18,27,5,2,5,0.23,0.0203,0.0728,0.0062,0.6707,0,0,0,0,0,0,0,0
3.zip,小波分析,机理仿真,特等奖D题_中国矿业大学（北京）_蒋书棋_李晨光_王畅.pdf,23,18,15,16,10,8,0.2443,0.0673,0.0708,0.0123,0.4609,0,0,0,0,0.0309,0,0.0657,0.0477
3.zip,微分方程,机理仿真,1考虑自愈的SARS的传播模型.pdf,75,18,82,0,0,78,0,0.3105,0.1636,0.0889,0.2465,0,0.0749,0.006,0,0.0226,0,0.0871,0
3.zip,微分方程,机理仿真,2013 高教社杯全国大学生数学建模竞赛.pdf,32,18,10,0,8,3,0,0.0303,0,0.0151,0.9546,0,0,0,0,0,0,0,0
3.zip,相关系数,统计评价,1010c.pdf,25,18,37,5,5,7,0.0505,0.0354,0.034,0.0083,0.0201,0,0.3753,0.4764,0,0,0,0,0
3.zip,相关系数,统计评价,10490c.pdf,37,18,19,7,10,8,0,0.0272,0.0885,0.0071,0.0163,0,0.3097,0.4901,0,0,0,0.0229,0.0383
3.zip,线性规划,优化决策,12一类投资组合问题的建模与分析.pdf,5,5,10,1,0,2,0,0,0,0,0,0,0.8478,0,0,0,0,0.1522,0
3.zip,线性规划,优化决策,1一类投资组合问题的建模与分析.pdf,5,5,10,1,0,2,0,0,0,0,0,0,0.8478,0,0,0,0,0.1522,0
3.zip,蚁群算法,优化决策,一等奖A题城市相邻两交叉口信号配时优化问题_山东理工大学_胡展_尹金风_曹婷婷.pdf,27,18,3,12,10,5,0.2677,0.0329,0.0394,0.0106,0.6494,0,0,0,0,0,0,0,0
3.zip,蚁群算法,优化决策,基于聚类分析的双目标优化定价模型.pdf,51,18,7,11,4,5,0.0931,0.0534,0.1016,0.0063,0.7456,0,0,0,0,0,0,0,0
