call_id,iteration,stage_order,stage_id,prompt_path,log_path,exit_code,status,started_at,finished_at,notes
initial_00_latex_template,1,0,latex_template,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_PROMPTSET_CODEX/workspace/agent_stage_initial_00_latex_template.md,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_PROMPTSET_CODEX/logs/agent_initial_00_latex_template.log,0,pass,2026-06-03T13:21:32,2026-06-03T13:22:57,
initial_01_intake,1,1,intake,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_PROMPTSET_CODEX/workspace/agent_stage_initial_01_intake.md,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_PROMPTSET_CODEX/logs/agent_initial_01_intake.log,0,pass,2026-06-03T13:22:57,2026-06-03T13:23:46,
initial_02_eda,1,2,eda,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_PROMPTSET_CODEX/workspace/agent_stage_initial_02_eda.md,16_learning/agent_runs/TRAIN-20260603_TEXTONLY_STAGE_API_PROMPTSET_CODEX/logs/agent_initial_02_eda.log,2,fail,2026-06-03T13:23:46,2026-06-03T13:24:09,
