call_id,iteration,stage_order,stage_id,prompt_path,log_path,exit_code,status,started_at,finished_at,notes
iteration_02_15_final_export,2,15,final_export,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/workspace/agent_stage_iteration_02_15_final_export.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/logs/agent_iteration_02_15_final_export.log,0,pass,2026-06-04T05:52:26,2026-06-04T05:56:10,
iteration_03_08_figures,3,8,figures,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/workspace/agent_stage_iteration_03_08_figures.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/logs/agent_iteration_03_08_figures.log,0,pass,2026-06-04T05:56:10,2026-06-04T05:58:50,
iteration_03_10_paper_full,3,10,paper_full,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/workspace/agent_stage_iteration_03_10_paper_full.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/logs/agent_iteration_03_10_paper_full.log,0,pass,2026-06-04T05:58:50,2026-06-04T06:01:05,
iteration_03_15_final_export,3,15,final_export,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/workspace/agent_stage_iteration_03_15_final_export.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/logs/agent_iteration_03_15_final_export.log,0,pass,2026-06-04T06:01:06,2026-06-04T06:07:46,
iteration_04_08_figures,4,8,figures,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/workspace/agent_stage_iteration_04_08_figures.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/logs/agent_iteration_04_08_figures.log,0,pass,2026-06-04T06:07:46,2026-06-04T06:12:16,
iteration_04_10_paper_full,4,10,paper_full,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/workspace/agent_stage_iteration_04_10_paper_full.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/logs/agent_iteration_04_10_paper_full.log,0,pass,2026-06-04T06:12:16,2026-06-04T06:21:58,
iteration_04_11_auto_review,4,11,auto_review,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/workspace/agent_stage_iteration_04_11_auto_review.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/logs/agent_iteration_04_11_auto_review.log,0,pass,2026-06-04T06:21:58,2026-06-04T06:24:48,
iteration_04_15_final_export,4,15,final_export,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/workspace/agent_stage_iteration_04_15_final_export.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/logs/agent_iteration_04_15_final_export.log,0,pass,2026-06-04T06:24:48,2026-06-04T06:29:30,
iteration_05_07_results_freeze,5,7,results_freeze,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/workspace/agent_stage_iteration_05_07_results_freeze.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/logs/agent_iteration_05_07_results_freeze.log,0,pass,2026-06-04T06:29:31,2026-06-04T06:31:36,
iteration_05_08_figures,5,8,figures,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/workspace/agent_stage_iteration_05_08_figures.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/logs/agent_iteration_05_08_figures.log,0,pass,2026-06-04T06:31:36,2026-06-04T06:34:26,
iteration_05_10_paper_full,5,10,paper_full,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/workspace/agent_stage_iteration_05_10_paper_full.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/logs/agent_iteration_05_10_paper_full.log,0,pass,2026-06-04T06:34:26,2026-06-04T06:37:25,
iteration_05_11_auto_review,5,11,auto_review,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/workspace/agent_stage_iteration_05_11_auto_review.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/logs/agent_iteration_05_11_auto_review.log,0,pass,2026-06-04T06:37:25,2026-06-04T06:42:06,
iteration_05_12_revision,5,12,revision,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/workspace/agent_stage_iteration_05_12_revision.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/logs/agent_iteration_05_12_revision.log,0,pass,2026-06-04T06:42:06,2026-06-04T06:45:43,
iteration_05_15_final_export,5,15,final_export,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/workspace/agent_stage_iteration_05_15_final_export.md,16_learning/agent_runs/TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX/logs/agent_iteration_05_15_final_export.log,0,pass,2026-06-04T06:45:43,2026-06-04T06:48:16,
